FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.1,9054,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.527049927997526 55.6518837919678))
affaldskurv.2,9053,1064,Carl Jacobsens Vej,0,Valby,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.524302871076952 55.65259252585587))
affaldskurv.3,9052,1064,Carl Jacobsens Vej,0,Valby,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.523916813278833 55.6529067635487))
affaldskurv.4,9529,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:12:23,2014-09-09T09:53:27,MULTIPOINT ((12.51268568005836 55.65557233540341))
affaldskurv.5,9528,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:10:14,2014-09-09T09:53:27,MULTIPOINT ((12.52083426057354 55.65289790730584))
affaldskurv.6,9527,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Blå,Ikke registreret,Rimelig/god stand,Ikke registreret,Ikke registreret,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2011-07-05T15:09:38,2014-09-09T09:53:27,MULTIPOINT ((12.520766433527646 55.653011647083744))
affaldskurv.7,9943,1064,Carl Jacobsens Vej,0,Valby,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-09-05T12:57:10,2014-09-09T09:53:27,MULTIPOINT ((12.527150284494477 55.652111554177836))
affaldskurv.8,6457,1064,Carl Jacobsens Vej,,Valby,2,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.526770631943098 55.65178136314618))
affaldskurv.9,9864,1099,Charlotte Ammundsens Plads,0,Indre By,,Pizzakurv,Grå (metal),Ikke registreret,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,Maxi kurv,2012-07-05T14:42:10,2014-09-09T09:53:27,MULTIPOINT ((12.56435767087144 55.68357761130885))
affaldskurv.10,7890,1132,Christians Brygge,0,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,rute 3 grøn,2005-12-06T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.578126090847965 55.67175704840154))
affaldskurv.11,5631,1132,Christians Brygge,,Indre By,1,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.586249480244694 55.67491690801597))
affaldskurv.12,5412,1132,Christians Brygge,,Indre By,1,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.580569764403885 55.67292207590136))
affaldskurv.13,4985,1128,Christiansborg Slotsplads,,Indre By,1,Richard Müller T5,Blå,Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.582551739892462 55.676354172582734))
affaldskurv.14,4975,1128,Christiansborg Slotsplads,,Indre By,1,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.580597105128735 55.67725194225271))
affaldskurv.15,4854,1140,Christianshavns Torv,,Indre By,1,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2009-02-01T00:00:00,2016-11-08T13:55:30.676,MULTIPOINT ((12.591152629901163 55.67223983239024))
affaldskurv.16,4850,1140,Christianshavns Torv,,Indre By,1,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,rute 3,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.590857510098514 55.672147629829546))
affaldskurv.17,10301,1152,Christiansmindevej,0,Østerbro,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-05-17T15:19:09,2014-09-09T09:53:27,MULTIPOINT ((12.577341132848568 55.71164761148164))
affaldskurv.18,5180,1160,Christmas Møllers Plads,,Amager Øst,1,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.596030337857547 55.66932790896278))
affaldskurv.19,4803,1160,Christmas Møllers Plads,,Amager Øst,1,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-11T00:00:00,2015-02-12T08:57:38,MULTIPOINT ((12.596281742100286 55.66920216357739))
affaldskurv.20,9328,1168,Classensgade,0,Østerbro,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.580746781562619 55.69643481534436))
affaldskurv.21,10411,1168,Classensgade,0,Østerbro,,Richard Müller T5,Ikke registreret,Ikke registreret,Ikke registreret,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-08-22T08:17:24,2014-09-09T09:53:27,MULTIPOINT ((12.586942920946184 55.698059084358526))
affaldskurv.22,5537,1168,Classensgade,,Østerbro,4,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2004-03-11T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.580671343246749 55.69657653841925))
affaldskurv.23,5533,1168,Classensgade,,Indre By,4,Richard Müller T5,Grøn,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.58319409703889 55.696918588170185))
affaldskurv.24,5689,1168,Classensgade,,Østerbro,4,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.58586139263117 55.69760930772342))
affaldskurv.25,5688,1168,Classensgade,,Østerbro,4,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.58490289223103 55.69752551782954))
affaldskurv.232,7380,0296,Backersvej,,Amager Øst,3,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-02-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.627120798708772 55.648550136683845))
affaldskurv.26,5520,1168,Classensgade,,Østerbro,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Østerbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.580028951949203 55.696476977073324))
affaldskurv.27,4905,1168,Classensgade,,Østerbro,4,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.589629329185362 55.698534258074815))
affaldskurv.28,4904,1168,Classensgade,,Østerbro,4,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-28T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.589801792051778 55.698717782707796))
affaldskurv.29,9068,1180,Colbjørnsensgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.563051949368717 55.67122735858358))
affaldskurv.30,9066,1180,Colbjørnsensgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.563249446665122 55.67104676642101))
affaldskurv.31,9062,1180,Colbjørnsensgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Afbrændt,Ikke registreret,Vej/Fortov,Vesterbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.56271107023532 55.671643204712296))
affaldskurv.32,10086,1180,Colbjørnsensgade,0,Vesterbro-Kongens Enghave,2,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-11-26T14:45:33,2014-09-09T09:53:27,MULTIPOINT ((12.5618324546739 55.672903537344034))
affaldskurv.33,7039,1180,Colbjørnsensgade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grå (metal),Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Vesterbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.562410565257252 55.671955237301816))
affaldskurv.34,10085,1180,Colbjørnsensgade,0,Vesterbro-Kongens Enghave,2,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-11-26T14:17:44,2014-09-09T09:53:27,MULTIPOINT ((12.561789976671252 55.672588896966765))
affaldskurv.35,10084,1180,Colbjørnsensgade,,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-11-26T14:16:54,2014-09-09T09:53:27,MULTIPOINT ((12.562095792479825 55.672446875512904))
affaldskurv.36,6060,1188,Cort Adelers Gade,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Frederiksstaden,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-10T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.59056730629953 55.67846854970165))
affaldskurv.37,8367,1204,Dag Hammarskjölds Allé,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.583644347908441 55.69371272810144))
affaldskurv.38,8366,1204,Dag Hammarskjölds Allé,0,Indre By,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.582420011122581 55.69430563792003))
affaldskurv.39,5521,1204,Dag Hammarskjölds Allé,,Indre By,1,Københavnerkurv,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-07-19T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.579535383522561 55.69603987833171))
affaldskurv.40,10394,1204,Dag Hammarskjölds Allé,0,Indre By,,Pizzakurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:36:43,2014-09-09T09:53:27,MULTIPOINT ((12.581744020487974 55.69512456942912))
affaldskurv.41,10393,1204,Dag Hammarskjölds Allé,0,Indre By,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:34:05,2014-09-09T09:53:27,MULTIPOINT ((12.580528266766148 55.695302228216775))
affaldskurv.42,10392,1204,Dag Hammarskjölds Allé,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:33:34,2014-09-09T09:53:27,MULTIPOINT ((12.581303062634632 55.69494999536922))
affaldskurv.43,4965,1204,Dag Hammarskjölds Allé,,Indre By,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 2,2001-07-21T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.582491864141872 55.69427341989327))
affaldskurv.44,9865,1204,Dag Hammarskjölds Allé,0,Indre By,,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2012-07-05T14:54:39,2014-09-09T09:53:27,MULTIPOINT ((12.580775865262222 55.69562208620176))
affaldskurv.45,4959,1204,Dag Hammarskjölds Allé,,Indre By,4,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Søerne,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,rute 2,2001-07-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.58441820775962 55.69325651220649))
affaldskurv.46,10397,1204,Dag Hammarskjölds Allé,0,Indre By,,Pizzakurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:38:43,2014-09-09T09:53:27,MULTIPOINT ((12.584851707570976 55.693538306520544))
affaldskurv.47,10396,1204,Dag Hammarskjölds Allé,0,Indre By,,Pizzakurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:37:54,2014-09-09T09:53:27,MULTIPOINT ((12.584002643954054 55.69396393934184))
affaldskurv.48,10395,1204,Dag Hammarskjölds Allé,0,Indre By,,Pizzakurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-07-19T13:37:17,2014-09-09T09:53:27,MULTIPOINT ((12.582277693324727 55.69485295212176))
affaldskurv.49,6528,1208,Dagmarsgade,,Nørrebro,4,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Nørrebro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2001-08-01T00:00:00,2017-02-02T11:19:44.373,MULTIPOINT ((12.547665907073371 55.697491085709075))
affaldskurv.50,9426,1246,Dampfærgevej,0,Østerbro,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2011-04-26T09:48:01,2014-09-09T09:53:27,MULTIPOINT ((12.59438553853854 55.70109176865486))
affaldskurv.51,9425,1246,Dampfærgevej,0,Østerbro,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Østerbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2011-04-26T09:46:04,2014-09-09T09:53:27,MULTIPOINT ((12.595131033124057 55.70069896107518))
affaldskurv.52,9424,1246,Dampfærgevej,0,Østerbro,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Østerbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2011-04-26T09:41:15,2014-09-09T09:53:27,MULTIPOINT ((12.595013087085224 55.698630977258006))
affaldskurv.53,9423,1246,Dampfærgevej,0,Østerbro,,Københavnerkurv,Blå,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Østerbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2011-04-26T09:40:13,2014-09-09T09:53:27,MULTIPOINT ((12.594866324695255 55.69882999026582))
affaldskurv.54,9292,1262,Danneskiold-Samsøes Allé,0,Indre By,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.601851005506386 55.67738578796018))
affaldskurv.55,9291,1262,Danneskiold-Samsøes Allé,0,Indre By,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.602076201645762 55.67787400641287))
affaldskurv.56,9290,1262,Danneskiold-Samsøes Allé,0,Indre By,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.605217497843318 55.68201850499136))
affaldskurv.57,9289,1262,Danneskiold-Samsøes Allé,0,Indre By,,Københavnerkurv,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.605689968919618 55.68228814362441))
affaldskurv.58,9288,1262,Danneskiold-Samsøes Allé,0,Indre By,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Christianshavn,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,,2014-09-09T09:53:27,MULTIPOINT ((12.606221472801007 55.68326162160175))
affaldskurv.59,10695,1276,Dantes Plads,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-11-18T13:42:54,2014-09-09T09:53:27,MULTIPOINT ((12.573832098209872 55.673643410707406))
affaldskurv.60,10694,1276,Dantes Plads,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-11-18T13:42:02,2014-09-09T09:53:27,MULTIPOINT ((12.573389362698933 55.67370390300506))
affaldskurv.61,10692,1276,Dantes Plads,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-11-18T13:40:30,2014-09-09T09:53:27,MULTIPOINT ((12.573795383341144 55.67382311990379))
affaldskurv.62,10691,1276,Dantes Plads,0,Indre By,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-11-18T13:39:29,2014-09-09T09:53:27,MULTIPOINT ((12.57399636713752 55.673839225362194))
affaldskurv.63,5622,1276,Dantes Plads,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Tømmerute 5,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-29T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.572960657713663 55.67353482907945))
affaldskurv.64,5621,1276,Dantes Plads,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Tømmerute 5,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-29T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.57319068588315 55.673400735532226))
affaldskurv.65,5620,1276,Dantes Plads,,Indre By,1,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Team Tivoli,Ikke defineret,Ikke defineret,Tømmerute 5,Ikke defineret,,Indmålt med GPS,rute 3,2001-07-29T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.573307970686587 55.67333728304489))
affaldskurv.66,11588,3948,A.F. Kriegers Vej,0,Østerbro,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2016-11-09T12:26:38.221,,MULTIPOINT ((12.584387405378356 55.702456300708796))
affaldskurv.67,11587,3948,A.F. Kriegers Vej,0,Østerbro,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Digitaliseret manuelt,,2016-11-09T12:26:38.221,,MULTIPOINT ((12.584472949502196 55.70252621143658))
affaldskurv.68,7052,0004,Abel Cathrines Gade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 1,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.55805928118918 55.67176613978101))
affaldskurv.69,9090,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,,Richard Müller T5,Grøn,Uden låg,Afbrændt,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.553992310393397 55.671695413840325))
affaldskurv.70,9089,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.553917463789247 55.67174448923852))
affaldskurv.71,9088,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,,Oval T3,Grøn,Ikke registreret,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2014-09-09T09:53:27,MULTIPOINT ((12.553769458818476 55.672183168187374))
affaldskurv.3437,7538,,,,Amager Vest,3,Oval T3,Grøn,Uden låg,Slidt/grim,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,park,2001-08-01T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.604237024107162 55.65787109842912))
affaldskurv.72,10831,0020,Absalonsgade,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-03-05T09:43:21,2014-09-09T09:53:27,MULTIPOINT ((12.554503978419099 55.670819697749074))
