FID,id,vejkode,vejnavn,park_id,bydel,distrikt,kurv_type,kurv_farve,kurv_laag,kurv_tilstand,kurv_driftsopgave,kurv_placering,tomn_rute_basis,tomn_rute_weekend,tomn_rute_middag,tomn_rute_efterm,tomningsfrekvens,kurv_foto,reg_metode,bemaerkning,reg_dato,rettet_dato,wkb_geometry
affaldskurv.2207,8999,6412,Sjælør Boulevard,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2015-11-04T12:23:51,MULTIPOINT ((12.52620687423244 55.65715795057376))
affaldskurv.2208,8998,6412,Sjælør Boulevard,0,Vesterbro-Kongens Enghave,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,,2015-11-04T12:24:18,MULTIPOINT ((12.525445902613297 55.659875765550346))
affaldskurv.2209,6688,6412,Sjælør Boulevard,,Valby,2,Richard Müller T5,Grøn,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,med pose,2001-08-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.524496658986706 55.66189481890636))
affaldskurv.2210,6685,6412,Sjælør Boulevard,,Valby,2,Richard Müller T5,Blå,Med låg,Slidt/grim,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.525053145981227 55.659924762900545))
affaldskurv.2211,6679,6412,Sjælør Boulevard,,Valby,2,Richard Müller T5,Blå,Uden låg,Slidt/grim,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,med pose,2001-08-16T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.526186677238867 55.65602183673335))
affaldskurv.2212,6462,6412,Sjælør Boulevard,,Vesterbro-Kongens Enghave,2,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-17T00:00:00,2015-11-04T12:24:53,MULTIPOINT ((12.52480956026866 55.66213487938022))
affaldskurv.2213,6459,6412,Sjælør Boulevard,,Vesterbro-Kongens Enghave,2,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2015-11-04T12:22:44,MULTIPOINT ((12.527585725341103 55.65232639757443))
affaldskurv.2214,6458,6412,Sjælør Boulevard,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Blå,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.527653320201487 55.65187801299823))
affaldskurv.2215,6455,6412,Sjælør Boulevard,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Uden låg,Afbrændt,Ikke registreret,Vej/Fortov,Kongens Enghave Team 4,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-14T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.528058215683084 55.65047603663162))
affaldskurv.2216,7152,6452,Skibelundvej,,Vanløse,5,Københavnerkurv,Grøn,Med låg,Ny/velholdt,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.495108135991968 55.69344163090389))
affaldskurv.2217,7029,6452,Skibelundvej,,Vanløse,5,Københavnerkurv,Grøn,Med låg,Ny/velholdt,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-22T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.49443609244225 55.693570674926974))
affaldskurv.2218,5377,6460,Skindergade,,Indre By,1,Richard Müller T5,Grøn,Uden låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Team Rosenborg,Ikke defineret,Ikke defineret,Tømmerute 3,Ikke defineret,,Indmålt med GPS,rute 1,2001-07-24T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.57490472275546 55.67999885890598))
affaldskurv.2219,7743,6492,Skoleholdervej,,Bispebjerg,5,Richard Müller T5,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Østerbro/Bispebjerg Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-10T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.531790179477113 55.71231854433819))
affaldskurv.2220,11028,6504,Skotlands Plads,0,Amager Vest,,Københavnerkurv,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2014-09-05T08:07:30,2014-09-09T09:53:27,MULTIPOINT ((12.604662947353741 55.65837873917031))
affaldskurv.2221,10227,6500,Skotlandsgade,0,Amager Vest,,Hundeposestativ,Ikke registreret,Ikke registreret,Ny/velholdt,Ikke registreret,Park,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2013-01-24T14:51:44,2014-09-09T09:53:27,MULTIPOINT ((12.604094950477633 55.6575354635071))
affaldskurv.2222,6857,6516,Skovbogårds Allé,,Valby,2,Københavnerkurv,Grøn,Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Vesterbro Team 3,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-17T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.523563401015116 55.66619980575937))
affaldskurv.2223,7287,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.554087626238855 55.6689177558017))
affaldskurv.2224,7286,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.55428100263465 55.668940912744205))
affaldskurv.2225,7285,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.55443757338218 55.66803926774403))
affaldskurv.2226,7284,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.554642552428437 55.668066285010724))
affaldskurv.2227,7283,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.554280032134143 55.66843739640196))
affaldskurv.2228,7282,6544,Skydebanegade,,Vesterbro-Kongens Enghave,2,Richard Müller T5,Grøn,Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Vesterbro Team 2,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Indmålt med GPS,,2001-08-25T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.554486518624486 55.66846103192463))
affaldskurv.2229,7467,6560,Skånegade,0,Amager Øst,,Københavnerkurv,Grå (metal),Med låg,Ny/velholdt,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2009-04-27T00:00:00,2014-09-09T09:53:27,MULTIPOINT ((12.602565253751882 55.66359815450731))
affaldskurv.2230,11476,6584,Slesvigsgade,,Vesterbro-Kongens Enghave,,Richard Müller T5,Grå (metal),Med låg,Rimelig/god stand,Ikke registreret,Vej/Fortov,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,Ikke defineret,,Udefineret,,2016-02-16T13:49:49.718,2016-09-13T13:14:43.043,MULTIPOINT ((12.540851239485205 55.66560739948088))
